,Text,Label
0,""" yep till march ",4
1,""" id i do poetry an stuff i'm kinda weird ",3
2,""" idk, i never let anyone see it ",4
3,""" o kewl ",4
4,""" cu 2morro ",0
5,""" well, if it were up to, what would you say ",4
6,""" would you like to meet up somewhere over there on saturday ",0
7,""" no ill try 2 call imeen silly ",2
8,""" back sorry ",4
9,""" did you have a fun weekend ",3
10,""" it's still the weekend till 2morro ",4
11,""" kewlies ",4
12,""" when will you know if she works ",6
13,""" hopefully 2nite ",4
14,""" well, when you think of what we would do you say everything i know you want to have fun, but i want to make sure you have fun so i need to know what everything is ",3
15,""" thanks ",4
16,""" thatd be kewl ",4
17,""" i hope not if you do, i won't pick you up ",0
18,""" oh, i see ",4
19,""" or the weekend ",0
20,""" really, you have nothing on your mind ",4
21,""" you like what ",4
22,""" well, go to school for a vet and write in the mean wile and get it copy write and sell it well your a vet huh ",4
23,""" i could help if you wright the stuff pleases no  ",5
24,""" ya ",4
25,""" you promise ",3
26,""" how would you heard me ",3
27,""" you don't want me 2 ",5
28,""" ya, i have the directions ",0
29,""" not too hard ",5
30,""" it gave me driving directions ",3
31,""" ok, so i will hope to hear from you this weekend and my brother wants to watch a movie ",3
32,""" i want to watch it with him so i have to go ",4
33,""" how's it going ",2
34,""" i gotta go 2 school ",3
35,""" i'm getting tired ",4
36,""" not this week don't think maybe next ",0
37,""" no duh ",4
38,""" what is the name of your school again ",3
39,""" idk morning time lol ",5
40,""" well, i still don't know ",4
41,""" i'll make you ride a cucumber ",5
42,""" ewww ",4
43,""" nipples all hard ",5
44,""" come play with me ",5
45,""" i dunno ",4
46,""" how are you ",4
47,""" next to you ",3
48,""" might be ",4
49,""" hi ",4
50,""" just gonna is check my email ",4
51,""" then you are leaving me ",3
52,""" nothing, just watched my bros ",4
53,""" would you let me ",5
54,""" i have a wii  360 ps3 and a ps2 ",3
55,""" but i love playing wii at my friend's house ",3
56,""" my xbf ",3
57,""" you can't do that on the comp ",6
58,""" no, i'm not ",4
59,""" yeah ",4
60,""" nite ",4
61,""" well what ",4
62,""" done what ",3
63,""" what ",4
64,""" how you gonna get me ",6
65,""" finishing my homework ",3
66,""" anything you wanna try ",5
67,""" how you feel about me ",3
68,""" i think ",4
69,""" so what's on your mind ",4
70,""" you really wanna find out ",3
71,""" sorry to hear that, but let me tell you happy day just in case i don't talk to u soon ",1
72,""" wanna talk on the phone ",3
73,""" when ",4
74,""" aww this, sorry i think she's home to ",6
75,""" where is that ok ",4
76,""" i can't ",4
77,""" i heard its fun now i feel stupid because i dunno what you want ",4
78,""" it's kewl ",2
79,""" i'm for real ",4
80,""" are you watching it ",5
81,""" not ",4
82,""" it's ok ill just call you a meanie from now on ",1
83,""" i'm not gonna guess at what you mean an look stupid if i'm wrong ",3
84,""" what have you done with a boy ",3
85,""" ya ",4
86,""" i better ",4
87,""" i hate she would kill me ",3
88,""" kewl ",4
89,""" younger ",4
90,""" no ",4
91,""" hi baby ",3
92,""" are you here ",2
93,""" wish you had a cam ",1
94,""" watcha doing ",4
95,""" how was ours ",2
96,""" you mite b u don't know if you are or or not ",3
97,""" if i was ",4
98,""" lol ",4
99,""" nite ",4
100,""" then what am i ",4
101,""" i want to hold you ",5
102,""" omg no you want ",3
103,""" no, i do u gotta nice smile ",2
104,""" you ",4
105,""" you every have a threesome ",5
106,""" what color are your nips ",5
107,""" i will in a lil wile ",4
108,""" feed me ",5
109,""" pizzas all gone now lol ",4
110,""" you know you want to ",4
111,""" i'll show you your friend again later lol ",3
112,""" whatsup with ",2
113,""" lol screw you ",4
114,""" then give me a kiss ",3
115,""" not really ",4
116,""" dance for me ",3
117,""" get a cam ",5
118,""" no, it doesn't ",4
119,""" lolz ",4
120,""" yeah, i like that ",5
121,""" ha ha ",4
122,""" was fun ",5
123,""" back ",4
124,""" you know what time ",3
125,""" all of it ",4
126,""" aw, that would be messy ",4
127,""" hi ",4
128,""" whatsup ",4
129,""" not in there yet ",4
130,""" you don't think so ",4
131,""" bye ",4
132,""" you lied 2 me ",3
133,""" i got to be back at 6 am ",3
134,""" i make bolts for the automotive company ",4
135,""" i'm 13 ",2
136,""" you like ",5
137,""" yeah ",4
138,""" just kissin mostly ",5
